keystone,name,Mas,Cri,Ver,Has,Agi,Int,Sta,Lee,Avo,legend1,legend2,trinket1,trinket2,t1,t2,t3,t4,t5,t6,t7
19,Emangle,6614,7830,5667,8424,38908,,140022,,,Elize's Everlasting Encasement,Luffa Wrappings,Umbral Moonglaives,Deteriorated Construct Core,Blood Frenzy,Guttural Roars,Balance Affinity,Typhoon,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
17,Dottm,7510,8040,7317,6123,35666,,77902,,,Elize's Everlasting Encasement,Luffa Wrappings,Darkmoon Deck: Immortality,Unstable Arcanocrystal,Blood Frenzy,Guttural Roars,Balance Affinity,Typhoon,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
19,Auvers,9050,5548,3175,8978,40714,,86931,,,Luffa Wrappings,Fury of Nature,Memento of Angerboda,Deteriorated Construct Core,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
19,Auvers,9359,7248,3396,6337,39732,,140226,,,Lady and the Child,Fury of Nature,Memento of Angerboda,Bloodthirsty Instinct,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
19,Kmslul,5513,4437,6585,10293,39181,,81832,,,Elize's Everlasting Encasement,Luffa Wrappings,Eye of Guarm,Darkmoon Deck: Immortality,Blood Frenzy,Guttural Roars,Balance Affinity,Typhoon,Incarnation: Guardian of Ursoc,Survival of the Fittest,Rend and Tear
19,Ashthar,7135,2423,9470,8021,39587,,136118,,,Lady and the Child,Luffa Wrappings,Memento of Angerboda,Eye of Guarm,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Pulverize
20,Emangle,5694,8077,5667,9048,38681,,139104,,,Lady and the Child,Luffa Wrappings,Umbral Moonglaives,Deteriorated Construct Core,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
19,Emangle,8186,4741,4561,10436,37335,,82323,,,Luffa Wrappings,Fury of Nature,Umbral Moonglaives,Deteriorated Construct Core,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
19,Auvers,9793,5139,2421,9505,41149,,143243,,,Lady and the Child,Fury of Nature,Memento of Angerboda,Deteriorated Construct Core,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
19,Ashthar,8099,2094,10206,7037,37872,,85746,,763,Lady and the Child,Fury of Nature,Umbral Moonglaives,Deteriorated Construct Core,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Pulverize
15,Bearside,6219,5872,5731,8508,40547,,134544,,,Elize's Everlasting Encasement,Luffa Wrappings,Feverish Carapace,Specter of Betrayal,Brambles,Wild Charge,Balance Affinity,Typhoon,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
15,Brathx,5421,4523,9554,9062,38462,,83044,838,,Lady and the Child,Fury of Nature,Cruel Gladiator's Accolade of Conquest,Umbral Moonglaives,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
15,Rayv,8420,6481,8884,3230,36642,,133751,,,Elize's Everlasting Encasement,Luffa Wrappings,Umbral Moonglaives,Chrono Shard,Blood Frenzy,Wild Charge,Restoration Affinity,Mighty Bash,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
