keystone,name,Mas,Cri,Ver,Has,Agi,Int,Sta,Lee,Avo,legend1,legend2,trinket1,trinket2,t1,t2,t3,t4,t5,t6,t7
19,Kw,13219,4431,344,10550,,56175,75359,,,The Dark Titan's Advice,Velen's Future Sight,Velen's Future Sight,The Deceiver's Grand Design,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
19,Toroidal,9219,6203,2151,9428,,58691,81147,,445,Roots of Shaladrassil,Elemental Rebalancers,Etraeus' Celestial Map,Chrono Shard,Torrent,Gust of Wind,Lightning Surge Totem,Ancestral Guidance,Ancestral Vigor,Echo of the Elements,Ascendance
17,Failgoat,14751,9419,463,6039,,55064,80524,,,Prydaz  Xavaric's Magnum Opus,Roots of Shaladrassil,Darkmoon Deck: Promises,The Deceiver's Grand Design,Undulation,Gust of Wind,Lightning Surge Totem,Ancestral Guidance,Ancestral Vigor,Echo of the Elements,Ascendance
20,Grodien,9742,9780,3046,8683,,58745,76688,,,Aman'Thul's Wisdom,Velen's Future Sight,Velen's Future Sight,Unstable Arcanocrystal,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
19,Xerase,10923,6119,6041,8024,,59141,80246,,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,The Deceiver's Grand Design,Velen's Future Sight,Prosperity,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
19,Celf,10179,11663,1535,8817,,57331,82655,,,Prydaz  Xavaric's Magnum Opus,Roots of Shaladrassil,Ferocious Gladiator's Accolade of Dominance,Perfectly Preserved Cake,Undulation,Gust of Wind,Lightning Surge Totem,Crashing Waves,Ancestral Protection Totem,Echo of the Elements,Ascendance
19,Teebro,10824,6503,5453,11564,,54463,76746,,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Velen's Future Sight,Unstable Arcanocrystal,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Moment of Clarity
19,Tritus,8816,10949,4040,6923,,57345,76742,1061,603,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,The Deceiver's Grand Design,Velen's Future Sight,Prosperity,Displacer Beast,Guardian Affinity,Mighty Bash,Cultivation,Germination,Stonebark
19,Cheeriko,11574,11042,1389,8887,,54669,73140,,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Unstable Arcanocrystal,Velen's Future Sight,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
19,Enyetou,14157,7462,527,8741,,54955,78026,562,502,Prydaz  Xavaric's Magnum Opus,Chatoyant Signet,Dreadstone of Endless Shadows,Leycoral Shard,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
15,Chesschamp,4130,8109,2144,11610,,57993,81246,,,The Dark Titan's Advice,Edraith  Bonds of Aglaya,Dreadstone of Endless Shadows,Flask of the Solemn Night,Abundance,Displacer Beast,Feral Affinity,Typhoon,Incarnation: Tree of Life,Germination,Moment of Clarity
19,Vaayu,11347,12970,2425,5749,,51864,80446,,,Prydaz  Xavaric's Magnum Opus,Sephuz's Secret,The Deceiver's Grand Design,Umbral Moonglaives,Undulation,Wind Rush Totem,Lightning Surge Totem,Crashing Waves,Ancestral Vigor,Echo of the Elements,Ascendance
19,Enyetou,17107,5060,527,8505,,56964,76112,585,502,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Velen's Future Sight,Leycoral Shard,Abundance,Displacer Beast,Feral Affinity,Typhoon,Cultivation,Germination,Flourish
15,Sags,9016,10915,2523,4193,,59647,75125,,,Praetorian's Tidecallers,Velen's Future Sight,Darkmoon Deck: Hellfire,Velen's Future Sight,Undulation,Graceful Spirit,Lightning Surge Totem,Ancestral Guidance,Ancestral Vigor,Echo of the Elements,Ascendance
19,Yabolish,12167,12023,,4419,,58300,75414,,,Roots of Shaladrassil,Velen's Future Sight,Huge Roggstone,Velen's Future Sight,Undulation,Wind Rush Totem,Lightning Surge Totem,Crashing Waves,Ancestral Vigor,Echo of the Elements,Ascendance
19,Grodien,12814,7864,4467,8047,,57394,76794,,1297,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Velen's Future Sight,Unstable Arcanocrystal,Abundance,Wild Charge,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
15,Chesschamp,10174,3806,498,10376,,57193,77783,1162,,Chameleon Song,The Dark Titan's Advice,Dreadstone of Endless Shadows,Charm of the Rising Tide,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Incarnation: Tree of Life,Germination,Moment of Clarity
15,Mulgor,12602,12339,1439,3813,,51752,77912,,421,Prydaz  Xavaric's Magnum Opus,Roots of Shaladrassil,Barbaric Mindslaver,The Deceiver's Grand Design,Torrent,Gust of Wind,Lightning Surge Totem,Ancestral Guidance,Ancestral Vigor,Echo of the Elements,High Tide
15,Kazrah,8648,14856,3884,3630,,60011,80200,,594,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Sea Star of the Depthmother,Velen's Future Sight,Undulation,Wind Rush Totem,Lightning Surge Totem,Ancestral Guidance,Earthen Shield Totem,Cloudburst Totem,Ascendance
15,Rdruidique,7586,8564,1545,11010,,60024,80229,2366,778,Prydaz  Xavaric's Magnum Opus,The Dark Titan's Advice,Flask of the Solemn Night,Etraeus' Celestial Map,Prosperity,Displacer Beast,Feral Affinity,Typhoon,Soul of the Forest,Germination,Flourish
15,Vaayu,12572,10550,1617,4421,,50485,74573,,,Al'Akir's Acrimony,Sephuz's Secret,Pharamere's Forbidden Grimoire,Fury of the Burning Sky,Undulation,Wind Rush Totem,Lightning Surge Totem,Crashing Waves,Ancestral Vigor,Echo of the Elements,Ascendance
15,Thorak,14380,8407,2424,4697,,54916,80326,1134,,Uncertain Reminder,Soul of the Farseer,The Deceiver's Grand Design,Sea Star of the Depthmother,Undulation,Graceful Spirit,Lightning Surge Totem,Ancestral Guidance,Ancestral Vigor,Cloudburst Totem,High Tide
15,Qire,8460,8464,3265,7163,,53013,75080,421,,Aman'Thul's Wisdom,The Dark Titan's Advice,Sea Star of the Depthmother,Darkmoon Deck: Promises,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
15,Sags,9016,10915,2523,4193,,59306,75125,,,Praetorian's Tidecallers,Velen's Future Sight,Darkmoon Deck: Hellfire,Velen's Future Sight,Undulation,Graceful Spirit,Lightning Surge Totem,Ancestral Guidance,Ancestral Vigor,Echo of the Elements,Ascendance
15,Kazrah,9220,13356,4333,2653,,58851,77467,,594,Roots of Shaladrassil,Velen's Future Sight,Velen's Future Sight,The Deceiver's Grand Design,Undulation,Wind Rush Totem,Lightning Surge Totem,Ancestral Guidance,Ancestral Vigor,Echo of the Elements,Ascendance
15,Heaterbooyy,9306,6240,1749,10548,,52680,72009,534,,The Dark Titan's Advice,Velen's Future Sight,Velen's Future Sight,Perfectly Preserved Cake,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
15,Nieldor,9000,7639,676,10327,,53397,72692,,,Секрет Сефуза,Предвидение Велена,Предвидение Велена,Страхолит бесконечных теней,Щит Кенария,Астральный скачок,Родство со стражем,Тайфун,Проращивание,Зарождение,Расцвет
15,Scetoh,11069,6969,1070,8635,,57813,76394,749,383,The Dark Titan's Advice,Velen's Future Sight,Velen's Future Sight,Flask of the Solemn Night,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
15,Valagrande,11155,7279,3825,8903,,54001,73063,567,,Aman'Thul's Wisdom,Velen's Future Sight,Velen's Future Sight,Unstable Arcanocrystal,Abundance,Displacer Beast,Guardian Affinity,Mighty Bash,Cultivation,Germination,Flourish
15,Chuckx,11058,7650,2021,10102,,55925,76953,457,,Aman'Thul's Wisdom,Velen's Future Sight,Unstable Arcanocrystal,Velen's Future Sight,Cenarion Ward,Displacer Beast,Feral Affinity,Mass Entanglement,Cultivation,Germination,Flourish
15,Grodien,9425,9761,2925,9002,,54687,71387,,,Aman'Thul's Wisdom,Velen's Future Sight,Velen's Future Sight,Unstable Arcanocrystal,Abundance,Wild Charge,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
15,Casualgurra,10336,8469,702,11088,,52047,80684,583,838,Lady and the Child,Sephuz's Secret,Fury of the Burning Sky,Pharamere's Forbidden Grimoire,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
15,Xerase,10923,6119,6041,7649,,59666,80246,,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,The Deceiver's Grand Design,Velen's Future Sight,Prosperity,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
15,Therer,6876,10296,1924,9914,,58776,77566,,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Darkmoon Deck: Promises,Velen's Future Sight,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
15,Avre,11100,8077,2618,11190,,55415,76185,,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Velen's Future Sight,Unstable Arcanocrystal,Prosperity,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
